"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN"
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","MDG_LAC_CAR","DOM","Dominican Republic","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","15.22","C, 4, 11","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","MDG_LAC_CAR","DOM","Dominican Republic","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","","","","","","","16.53","C, 4, 11","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","MDG_LAC_CAR","DOM","Dominican Republic","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","","","","","","","13.83","C, 4, 11","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_LAC_CA","CRI","Costa Rica","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","76.86","C, 4, 11","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_LAC_CA","CRI","Costa Rica","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","","","","","","","77.74","C, 4, 11","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_LAC_CA","CRI","Costa Rica","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","","","","","","","76.04","C, 4, 11","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_LAC_CA","GTM","Guatemala","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","39.85","C, 4, 11","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_LAC_CA","GTM","Guatemala","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","","","","","","","38.57","C, 4, 11","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_LAC_CA","GTM","Guatemala","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","","","","","","","41.02","C, 4, 11","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_LAC_CA","HND","Honduras","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","44.33","C, 4, 11","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_LAC_CA","HND","Honduras","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","","","","","","","43.46","C, 4, 11","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_LAC_CA","HND","Honduras","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","","","","","","","45.18","C, 4, 11","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_LAC_CA","MEX","Mexico","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","69.68","C, 4, 11","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_LAC_CA","MEX","Mexico","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","","","","","","","71.56","C, 4, 11","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_LAC_CA","MEX","Mexico","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","","","","","","","67.85","C, 4, 11","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_LAC_CA","NIC","Nicaragua","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","32.00","C, 4, 11","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_LAC_CA","NIC","Nicaragua","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","","","","","","","31.28","C, 4, 11","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_LAC_CA","NIC","Nicaragua","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","","","","","","","32.76","C, 4, 11","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_LAC_CA","PAN","Panama","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","39.86","C, 4, 11","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_LAC_CA","PAN","Panama","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","","","","","","","41.27","C, 4, 11","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_LAC_CA","PAN","Panama","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","","","","","","","38.54","C, 4, 11","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_LAC_SA","ARG","Argentina","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","61.00","C, 4, 11","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_LAC_SA","ARG","Argentina","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","","","","","","","63.92","C, 4, 11","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_LAC_SA","ARG","Argentina","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","","","","","","","58.09","C, 4, 11","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_LAC_SA","BRA","Brazil","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","62.54","C, 4, 11","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_LAC_SA","BRA","Brazil","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","","","","","","","66.71","C, 4, 11","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_LAC_SA","BRA","Brazil","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","","","","","","","58.51","C, 4, 11","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_LAC_SA","CHL","Chile","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","84.64","C, 4, 11","","","",""
