"Goal","Target","IndicatorRef","IndicatorId","IndicatorDescription","SeriesCode","SeriesType","SeriesDescription","ParentCountryOrAreaCode","CountryOrAreaCode","CountryOrAreaName","LDC","LLDC","SIDS","Frequency","SourceType","AgeGroup","Location","Sex","Value type","Unit","UnitMultiplier","Y2000","Y2000FN","Y2001","Y2001FN","Y2002","Y2002FN","Y2003","Y2003FN","Y2004","Y2004FN","Y2005","Y2005FN","Y2006","Y2006FN","Y2007","Y2007FN","Y2008","Y2008FN","Y2009","Y2009FN","Y2010","Y2010FN","Y2011","Y2011FN","Y2012","Y2012FN","Y2013","Y2013FN","Y2014","Y2014FN","Y2015","Y2015FN","Y2016","Y2016FN"
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_NAM","BMU","Bermuda","","","","Annual","Not available","15 to 24 years old","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","6.79","C, 11, 18","","","","","","","","","","","",""
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_NAM","BMU","Bermuda","","","","Annual","Not available","15 to 24 years old","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","5.48","C, 11, 18","","","","","","","","","","","",""
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_NAM","BMU","Bermuda","","","","Annual","Not available","15 to 24 years old","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","8.18","C, 11, 18","","","","","","","","","","","",""
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_NAM","CAN","Canada","","","","Annual","Not available","15 to 24 years old","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","11.88","C, 1, 19, 25","11.41","C, 2, 19, 25","11.60","C, 3, 19, 25","11.20","C, 4, 19, 25","11.47","C, 5, 19, 25","10.74","C, 6, 19, 25","10.19","C, 7, 19, 25","10.52","C, 8, 19, 25","10.20","C, 9, 19, 25","10.97","C, 10, 19, 25","10.93","C, 11, 19, 25","10.76","C, 12, 19, 25","10.62","C, 13, 19, 25","10.53","C, 14, 19, 25","11.01","C, 15, 19, 25","10.29","C, 16, 19, 25","",""
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_NAM","CAN","Canada","","","","Annual","Not available","15 to 24 years old","Total (national level)","Female","","Percent","Units","12.01","C, 1, 19, 25","11.00","C, 2, 19, 25","11.14","C, 3, 19, 25","10.68","C, 4, 19, 25","10.39","C, 5, 19, 25","10.20","C, 6, 19, 25","9.82","C, 7, 19, 25","10.17","C, 8, 19, 25","9.95","C, 9, 19, 25","12.45","C, 10, 19, 25","12.56","C, 11, 19, 25","12.56","C, 12, 19, 25","12.40","C, 13, 19, 25","12.27","C, 14, 19, 25","10.22","C, 15, 19, 25","9.58","C, 16, 19, 25","",""
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_NAM","CAN","Canada","","","","Annual","Not available","15 to 24 years old","Total (national level)","Male","","Percent","Units","11.76","C, 1, 19, 25","11.81","C, 2, 19, 25","12.04","C, 3, 19, 25","11.70","C, 4, 19, 25","12.49","C, 5, 19, 25","11.25","C, 6, 19, 25","10.54","C, 7, 19, 25","10.86","C, 8, 19, 25","10.44","C, 9, 19, 25","9.53","C, 10, 19, 25","9.34","C, 11, 19, 25","9.01","C, 12, 19, 25","8.90","C, 13, 19, 25","8.85","C, 14, 19, 25","11.77","C, 15, 19, 25","10.96","C, 16, 19, 25","",""
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_NAM","USA","United States of America","","","","Annual","Not available","16 to 24 years old","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","17.45","C, 10, 19, 25","17.64","C, 11, 19, 25","17.13","C, 12, 19, 25","16.49","C, 13, 19, 25","","","","","","","",""
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_NAM","USA","United States of America","","","","Annual","Not available","16 to 24 years old","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","17.93","C, 10, 19, 25","17.94","C, 11, 19, 25","18.10","C, 12, 19, 25","17.37","C, 13, 19, 25","","","","","","","",""
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_NAM","USA","United States of America","","","","Annual","Not available","16 to 24 years old","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","16.98","C, 10, 19, 25","17.33","C, 11, 19, 25","16.20","C, 12, 19, 25","15.63","C, 13, 19, 25","","","","","","","",""
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","15 to 24 years old","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","12.08","C, 10, 18","","","","","","","","","","","","","",""
