NocCode,Occupation,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024
0010,Legislators and senior management,57000,57300,57500,57800,58100,58300,58400,58500,58700,58900,59100
0111,Financial managers,61600,61800,62500,63200,63800,64400,64800,65200,65700,66200,66700
0112,Human resources managers,35800,35900,36500,37100,37600,38100,38500,38900,39300,39700,40100
0113,"Purchasing managers & Senior managers - health, education, social and community services and membership organizations",24700,24600,24800,25100,25400,25600,25700,25900,26100,26300,26400
0121,"Insurance, real estate and financial brokerage managers",23600,23800,24000,24200,24500,24600,24700,24800,25000,25200,25300
0122,"Banking, credit and other investment managers",47400,47800,48300,48700,49200,49500,49700,49900,50300,50700,51000
0124,"Advertising, marketing and public relations managers & Other business services managers",43200,43900,43800,43900,44100,44200,44300,44500,44700,44900,45200
0130,Managers in communication (except broadcasting),12200,12200,12000,11800,11700,11500,11400,11300,11200,11200,11100
0211,Engineering managers & Architecture and science managers,36700,36900,38100,39200,40200,41000,41700,42400,43000,43700,44200
0213,Computer and information systems managers,55500,56000,58000,59900,61500,62800,64000,65000,65900,66800,67700
0311,Managers in health care,29300,29800,30300,30900,31500,31900,32400,32900,33400,33900,34400
0410,Managers in public administration,30400,30600,30800,31100,31400,31600,31700,31900,32100,32300,32400
0421,Administrators - post-secondary education and vocational training,8700,8800,9000,9100,9300,9400,9500,9600,9700,9800,9900
0422,School principals and administrators of elementary and secondary education,27500,27800,28100,28400,28700,28900,29100,29400,29600,29800,30000
0423,"Managers in social, community and correctional services",32800,33100,33500,34000,34500,34800,35200,35500,35900,36300,36700
0430,Managers in public protection services,4100,4200,4200,4200,4300,4300,4400,4400,4400,4500,4500
0510,"Managers in art, culture, recreation and sport",13000,13000,13100,13100,13200,13300,13300,13400,13400,13500,13600
0601,Corporate sales managers,25100,25500,25400,25300,25300,25300,25200,25300,25300,25400,25600
0621,Retail and wholesale trade managers,343600,341100,337100,334100,331900,329200,326700,324800,323600,322800,322400
0631,Restaurant and food service managers,110500,112100,112000,112000,112200,112100,112100,112100,112300,112600,112900
0632,Accommodation service managers,58700,59200,59800,60500,61100,61500,61800,62200,62600,63100,63600
0651,"Managers in customer and personal services, n.e.c.",15200,15200,15400,15500,15700,15800,15900,15900,16000,16100,16200
0711,Construction managers,64100,63500,63500,64400,65000,65800,66500,67100,67700,68300,69000
0712,Home building and renovation managers,132300,133300,133900,135800,138100,140400,142600,144300,145800,147500,149300
0714,Facility operation and maintenance managers,32400,32500,32500,32500,32600,32600,32600,32700,32800,32900,33000
0731,Managers in transportation,22900,23100,23300,23600,23800,24000,24100,24300,24500,24700,24800
0811,Managers in natural resources production and fishing,12700,12100,12200,12300,12500,12600,12700,12800,12900,13000,13100
0820,"Managers in agriculture, horticulture and aquaculture",173600,173100,173000,172700,172400,171800,171000,170300,169300,168400,167500
0910,Managers in manufacturing and utilities,76100,76300,77400,78100,78700,79100,79400,79700,80000,80200,80500
1111,Financial auditors and accountants,196300,198200,200700,203200,205700,207800,209700,211400,213300,215300,217100
1112,Financial and investment analysts,69800,72600,74700,76300,77600,78500,79200,79900,80600,81300,81900
1113,"Securities agents, investment dealers and brokers",21700,21700,21800,21900,22100,22100,22200,22200,22400,22500,22600
1114,Other financial officers,109100,110100,111200,112200,113200,113700,114200,114600,115300,116000,116700
1121,Human resources professionals,80100,81100,83300,85200,87100,88500,89700,90800,91900,93000,94000
1122,Professional occupations in business management consulting,92800,93900,96900,99500,102000,103900,105600,107100,108500,109900,111200
1123,"Professional occupations in advertising, marketing and public relations",102700,104000,105700,107400,109200,110700,112000,113400,114800,116300,117700
1211,"Supervisors, general office and administrative support workers",20000,20100,20200,20300,20500,20500,20600,20600,20700,20800,20800
1212,"Supervisors, finance and insurance office workers",51000,52300,53400,54300,55100,55700,56100,56600,57100,57500,58000
1213,"Supervisors, library, correspondence and related information workers; Supervisors, mail and message distribution occupations & Supervisors, supply chain, tracking and scheduling co-ordination occupations",85800,86200,87100,87900,88800,89400,89800,90300,90900,91500,92100
1221,Administrative officers,242100,244100,247900,251800,255600,258700,261400,264100,266900,269700,272500
1222,Executive assistants,38500,38800,39200,39700,40100,40500,40800,41100,41500,41800,42200
1223,Human resources and recruitment officers,38000,38400,38900,39300,39800,40200,40500,40900,41300,41700,42000
1224,Property administrators,30500,30600,30800,31000,31200,31300,31400,31500,31600,31700,31800
1225,Purchasing agents and officers,59100,59500,60200,61000,61700,62300,62900,63500,64000,64600,65100
1226,Conference and event planners,20900,21200,21400,21700,22000,22300,22500,22700,22900,23200,23400
1227,"Court officers and justices of the peace & Employment insurance, immigration, border services and revenue officers",41300,41600,42100,42600,43100,43500,43900,44200,44600,45000,45300
1241,Administrative assistants,96700,96200,91700,88000,84800,81800,79100,76700,74700,73000,71500
1242,Legal administrative assistants,42000,42400,42000,41700,41600,41400,41300,41200,41300,41300,41400
1243,Medical administrative assistants,37900,37800,37900,37900,38000,37900,37800,37700,37700,37600,37500
1250,"Court reporters, transcriptionists, records management technician And statistical officers",27300,27400,27700,27900,28100,28300,28400,28600,28800,29000,29100
1311,Accounting technician and bookkeepers,146400,147500,147800,148300,149000,149300,149500,149900,150400,151000,151600
