NaicsCode2Digits,Naics,Unknown1,Unknown2,Kilotonnes
11,"Agriculture, forestry, fishing and hunting",,"83,734",15.09
21,"Mining and Quarrying",,"176,118",31.73
22,"Utilities",,"85,458",15.40
23,"Construction",,"7,490",1.35
31-33,"Manufacturing",,"119,159",21.47
41,"Wholesale trade",,"10,626",1.91
44-45,"Retail trade",,"6,773",1.22
48-49,"Transportation and Warehousing",,"18,179",3.28
51,"Information and cultural industries",,"1,241",0.22
52,"Finance and insurance",,"5,141",0.93
53,"Real Estate and rental and leasing",,"10,100",1.82
54,"Professional ccientific and technical services",,"3,905",0.70
56,"Administrative and support, waste management and remediation services",,"4,810",0.87
61,"Educational services",,"4,328",0.78
62,"Health care and social assistance",,"3,316",0.60
71,"Arts, entertainment and recreation",, 247 ,0.04
72,"Accommodation and food services",,"1,825",0.33
91,"Public administration",,"12,564",2.26
