Title,NOC4,Statistics,Average
Food and beverage servers [6513] ,6513,Average offered hourly wage (dollars) (5),10.775
Bartenders [6512] ,6512,Average offered hourly wage (dollars) (5),11.175
Cashiers [6611] ,6611,Average offered hourly wage (dollars) (5),11.175
Nursery and greenhouse workers [8432] ,8432,Average offered hourly wage (dollars) (5),11.3375
"Store shelf stockers, clerks and order fillers [6622] ",6622,Average offered hourly wage (dollars) (5),11.475
Service station attendants [6621] ,6621,Average offered hourly wage (dollars) (5),11.525
Harvesting labourers [8611] ,8611,Average offered hourly wage (dollars) (5),11.5375
"Food counter attendants, kitchen helpers and related support occupations [6711] ",6711,Average offered hourly wage (dollars) (5),11.5875
Maîtres d'hôtel and hosts/hostesses [6511] ,6511,Average offered hourly wage (dollars) (5),11.7625
Industrial sewing machine operators [9446] ,9446,Average offered hourly wage (dollars) (5),11.85
Retail salespersons [6421] ,6421,Average offered hourly wage (dollars) (5),11.925
Labourers in fish and seafood processing [9618] ,9618,Average offered hourly wage (dollars) (5),12.0875
Casino occupations [6533] ,6533,Average offered hourly wage (dollars) (5),12.175
"Other service support occupations, not elsewhere classified (n.e.c.) [6742] ",6742,Average offered hourly wage (dollars) (5),12.2
Fish and seafood plant workers [9463] ,9463,Average offered hourly wage (dollars) (5),12.2375
Artisans and craftspersons [5244] ,5244,Average offered hourly wage (dollars) (5),12.3
Photographic and film processors [9474] ,9474,Average offered hourly wage (dollars) (5),12.33333333
"Tailors, dressmakers, furriers and milliners [6342] ",6342,Average offered hourly wage (dollars) (5),12.3875
General farm workers [8431] ,8431,Average offered hourly wage (dollars) (5),12.4875
"Dry cleaning, laundry and related occupations [6741] ",6741,Average offered hourly wage (dollars) (5),12.5125
Pet groomers and animal care workers [6563] ,6563,Average offered hourly wage (dollars) (5),12.55
Labourers in textile processing [9616] ,9616,Average offered hourly wage (dollars) (5),12.55
Survey interviewers and statistical clerks [1454] ,1454,Average offered hourly wage (dollars) (5),12.5875
Hairstylists and barbers [6341] ,6341,Average offered hourly wage (dollars) (5),12.6625
"Estheticians, electrologists and related occupations [6562] ",6562,Average offered hourly wage (dollars) (5),12.7
"Operators and attendants in amusement, recreation and sport [6722] ",6722,Average offered hourly wage (dollars) (5),12.7
Other automotive mechanical installers and servicers [7535] ,7535,Average offered hourly wage (dollars) (5),12.9875
Air transport ramp attendants [7534] ,7534,Average offered hourly wage (dollars) (5),13.175
"Inspectors and graders, textile, fabric, fur and leather products manufacturing [9447] ",9447,Average offered hourly wage (dollars) (5),13.25
"Weavers, knitters and other fabric making occupations [9442] ",9442,Average offered hourly wage (dollars) (5),13.2625
Water transport deck and engine room crew [7532] ,7532,Average offered hourly wage (dollars) (5),13.35
Cooks [6322] ,6322,Average offered hourly wage (dollars) (5),13.4125
Bakers [6332] ,6332,Average offered hourly wage (dollars) (5),13.4125
Hotel front desk clerks [6525] ,6525,Average offered hourly wage (dollars) (5),13.425
Other sales related occupations [6623] ,6623,Average offered hourly wage (dollars) (5),13.5125
Labourers in food and beverage processing [9617] ,9617,Average offered hourly wage (dollars) (5),13.5625
"Other labourers in processing, manufacturing and utilities [9619] ",9619,Average offered hourly wage (dollars) (5),13.5625
"Support occupations in accommodation, travel and facilities set-up services [6721] ",6721,Average offered hourly wage (dollars) (5),13.625
Furniture and fixture assemblers and inspectors [9532] ,9532,Average offered hourly wage (dollars) (5),13.6625
"Other products assemblers, finishers and inspectors [9537] ",9537,Average offered hourly wage (dollars) (5),13.7375
Food service supervisors [6311] ,6311,Average offered hourly wage (dollars) (5),13.775
Light duty cleaners [6731] ,6731,Average offered hourly wage (dollars) (5),13.8
Other wood products assemblers and inspectors [9533] ,9533,Average offered hourly wage (dollars) (5),13.8
Security guards and related security service occupations [6541] ,6541,Average offered hourly wage (dollars) (5),13.8
Specialized cleaners [6732] ,6732,Average offered hourly wage (dollars) (5),13.875
Taxi and limousine drivers and chauffeurs [7513] ,7513,Average offered hourly wage (dollars) (5),13.9125
Travel counsellors [6521] ,6521,Average offered hourly wage (dollars) (5),13.9375
Airline ticket and service agents [6523] ,6523,Average offered hourly wage (dollars) (5),14.05
