NocCode,Occupation,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024
0010,Legislators and senior management,2600,2500,2600,2700,2600,2700,2700,2600,2600,2600,2500
0111,Financial managers,1800,1700,1700,1800,1900,1900,2000,2000,2000,2000,2000
0112,Human resources managers,900,1000,1000,1100,1100,1100,1200,1200,1200,1200,1200
0113,"Purchasing managers & Senior managers - health, education, social and community services and membership organizations",600,600,700,700,700,800,800,800,800,800,800
0121,"Insurance, real estate and financial brokerage managers",600,600,700,700,700,800,800,800,800,800,800
0122,"Banking, credit and other investment managers",1400,1400,1400,1400,1500,1500,1600,1600,1600,1500,1500
0124,"Advertising, marketing and public relations managers & Other business services managers",1100,1100,1200,1200,1300,1300,1300,1300,1400,1400,1400
0130,Managers in communication (except broadcasting),300,300,400,400,400,400,400,400,400,400,400
0211,Engineering managers & Architecture and science managers,800,900,900,900,1000,1000,1100,1100,1100,1100,1100
0213,Computer and information systems managers,1300,1400,1400,1400,1500,1600,1600,1700,1700,1700,1700
0311,Managers in health care,1100,1200,1200,1300,1300,1300,1300,1300,1300,1300,1300
0410,Managers in public administration,800,900,900,1000,1100,1100,1200,1200,1200,1200,1200
0421,Administrators - post-secondary education and vocational training,400,400,400,400,400,400,400,400,400,400,400
0422,School principals and administrators of elementary and secondary education,1100,1100,1200,1200,1200,1200,1200,1200,1200,1100,1100
0423,"Managers in social, community and correctional services",1200,1300,1400,1400,1400,1400,1400,1400,1400,1400,1400
0430,Managers in public protection services,200,200,200,200,200,200,200,200,200,200,200
0510,"Managers in art, culture, recreation and sport",500,500,400,400,500,500,500,500,500,500,500
0601,Corporate sales managers,700,700,700,700,700,700,700,800,800,800,800
0621,Retail and wholesale trade managers,10900,10800,10800,10800,10800,10900,11000,10900,10900,10800,10700
0631,Restaurant and food service managers,2200,2200,2200,2300,2300,2400,2400,2400,2500,2500,2600
0632,Accommodation service managers,1100,1100,1200,1200,1300,1300,1300,1300,1400,1400,1400
0651,"Managers in customer and personal services, n.e.c.",500,500,500,600,600,500,500,500,500,500,500
0711,Construction managers,1800,1800,1800,1800,1900,1900,1900,1900,1900,1900,1900
0712,Home building and renovation managers,3700,3700,3800,3800,4000,4000,4100,4100,4100,4100,4100
0714,Facility operation and maintenance managers,900,900,900,1000,1000,1100,1100,1100,1100,1100,1100
0731,Managers in transportation,700,700,700,700,700,700,700,700,700,700,700
0811,Managers in natural resources production and fishing,300,300,300,400,400,400,400,400,400,400,400
0820,"Managers in agriculture, horticulture and aquaculture",5800,5600,5600,5600,5600,5600,5600,5500,5500,5500,5500
0910,Managers in manufacturing and utilities,2000,2100,2100,2200,2400,2400,2500,2600,2600,2700,2600
1111,Financial auditors and accountants,4200,4100,4200,4300,4400,4500,4600,4600,4700,4800,4800
1112,Financial and investment analysts,1200,1300,1500,1600,1700,1700,1700,1700,1800,1800,1800
1113,"Securities agents, investment dealers and brokers",400,400,500,500,500,500,500,500,500,500,500
1114,Other financial officers,2300,2300,2300,2400,2400,2500,2500,2500,2600,2600,2600
1121,Human resources professionals,2100,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
1122,Professional occupations in business management consulting,2800,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600
1123,"Professional occupations in advertising, marketing and public relations",1800,1800,1900,2000,2000,2000,2100,2100,2100,2200,2200
1211,"Supervisors, general office and administrative support workers",600,600,500,500,600,600,600,600,600,600,600
1212,"Supervisors, finance and insurance office workers",1200,1200,1300,1400,1500,1500,1500,1500,1600,1500,1500
1213,"Supervisors, library, correspondence and related information workers; Supervisors, mail and message distribution occupations & Supervisors, supply chain, tracking and scheduling co-ordination occupations",2100,2200,2200,2300,2400,2400,2500,2500,2500,2500,2500
1221,Administrative officers,5500,5700,5800,6000,6200,6400,6500,6600,6600,6600,6600
1222,Executive assistants,1000,1000,900,900,1000,1000,1000,1000,1000,1000,1000
1223,Human resources and recruitment officers,700,800,900,900,1000,1000,1000,1000,1000,1000,1000
1224,Property administrators,700,700,700,700,800,800,800,800,800,800,800
1225,Purchasing agents and officers,1200,1300,1400,1500,1500,1500,1600,1600,1600,1600,1600
1226,Conference and event planners,500,500,500,500,500,600,600,600,600,600,600
1227,"Court officers and justices of the peace & Employment insurance, immigration, border services and revenue officers",800,900,1000,1000,1000,1100,1100,1100,1100,1100,1100
1241,Administrative assistants,3500,3400,3300,3300,3300,3300,3300,3200,3100,3000,2900
1242,Legal administrative assistants,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
1243,Medical administrative assistants,1300,1400,1400,1500,1500,1600,1600,1600,1600,1600,1600
1250,"Court reporters, transcriptionists, records management technician And statistical officers",600,700,700,700,700,800,800,800,800,800,800
1311,Accounting technician and bookkeepers,3200,3200,3300,3300,3400,3500,3600,3600,3600,3700,3700
1312,"Insurance adjusters and claims examiners; Insurance underwriters; Assessors, valuators and appraisers & Customs, ship and other brokers",1400,1300,1300,1300,1300,1400,1400,1400,1400,1400,1500
1411,General office support workers,5500,5500,5600,5700,5800,5900,6000,6100,6100,6100,6000
1414,Receptionists,3700,3700,3700,3800,3800,3900,4000,4100,4100,4100,4100
1415,Personnel  and Court clerks,300,300,300,300,300,300,300,300,300,300,300
1422,Data entry clerks & Desktop publishing operators and related occupations,1000,1000,1000,1000,1100,1100,1100,1200,1200,1200,1200
1431,Accounting and related clerks,4200,4300,4400,4500,4600,4700,4800,4700,4700,4600,4500
1432,Payroll clerks,1200,1300,1400,1400,1500,1500,1600,1600,1600,1600,1600
1434,"Banking, insurance and other financial clerks & Collectors",1400,1400,1400,1400,1500,1500,1500,1500,1500,1500,1500
1450,"Library, correspondence and other clerks",1500,1500,1600,1600,1600,1700,1700,1700,1700,1700,1700
1511,"Mail, postal and related workers",900,900,900,900,900,1000,1000,1000,900,900,900
1512,Letter carriers,800,900,900,900,900,900,1000,1000,1000,1000,900
