"Goal","Target","IndicatorRef","IndicatorId","IndicatorDescription","SeriesCode","SeriesType","SeriesDescription","ParentCountryOrAreaCode","CountryOrAreaCode","CountryOrAreaName","LDC","LLDC","SIDS","Frequency","SourceType","AgeGroup","Location","Sex","Value type","Unit","UnitMultiplier","Y2000","Y2000FN","Y2001","Y2001FN","Y2002","Y2002FN","Y2003","Y2003FN","Y2004","Y2004FN","Y2005","Y2005FN","Y2006","Y2006FN","Y2007","Y2007FN","Y2008","Y2008FN","Y2009","Y2009FN","Y2010","Y2010FN","Y2011","Y2011FN","Y2012","Y2012FN","Y2013","Y2013FN","Y2014","Y2014FN","Y2015","Y2015FN"
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","","MDG_WORLD","World","","","","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","56.00","1, 131","","","","","","","","","50.50","6, 131","","","","","","","","","47.20","11, 131","","","","","","","","","44.10","16, 131"
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","MDG_WORLD","SDG_NAEUR","Europe and Northern America","","","","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","28.70","1, 131","","","","","","","","","25.90","6, 131","","","","","","","","","23.00","11, 131","","","","","","","","","16.80","16, 131"
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","SDG_NAEUR","M49_NAM","Northern America","","","","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","44.40","1, 131","","","","","","","","","38.90","6, 131","","","","","","","","","32.80","11, 131","","","","","","","","","21.50","16, 131"
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","M49_NAM","CAN","Canada","","","","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","17.30","C, 1, 132","16.30","C, 2, 132","15.00","C, 3, 132","14.50","C, 4, 132","13.70","C, 5, 132","13.40","C, 6, 132","13.70","C, 7, 132","14.00","C, 8, 132","14.30","C, 9, 132","14.20","C, 10, 132","13.50","C, 11, 132","12.60","C, 12, 132","","","","","","","",""
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","M49_NAM","GRL","Greenland","","","","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","79.61","C, 1, 132","80.47","C, 2, 132","69.47","C, 3, 132","67.38","C, 4, 132","61.56","C, 5, 132","69.64","C, 6, 132","56.89","C, 7, 132","54.26","C, 8, 132","53.23","C, 9, 132","62.14","C, 10, 132","50.03","C, 11, 132","39.73","C, 12, 132","38.64","C, 13, 132","39.06","C, 14, 132","39.64","C, 15, 132","36.39","C, 16, 132"
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","M49_NAM","USA","United States of America","","","","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","47.70","C, 1, 132","45.00","C, 2, 132","42.60","C, 3, 132","41.10","C, 4, 132","40.50","C, 5, 132","39.70","C, 6, 132","41.10","C, 7, 132","41.50","C, 8, 132","40.20","C, 9, 132","37.90","C, 10, 132","34.20","C, 11, 132","31.30","C, 12, 132","29.40","C, 13, 132","26.60","C, 14, 132","","","",""
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","SDG_NAEUR","M49_EUR","Europe","","","","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","21.90","1, 131","","","","","","","","","19.60","6, 131","","","","","","","","","17.80","11, 131","","","","","","","","","14.10","16, 131"
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","M49_EUR","M49_EUR_EE","Eastern Europe","","","","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","30.30","1, 131","","","","","","","","","26.90","6, 131","","","","","","","","","26.30","11, 131","","","","","","","","","22.40","16, 131"
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","27.40","C, 1, 132","26.30","C, 2, 132","24.00","C, 3, 132","23.80","C, 4, 132","22.60","C, 5, 132","21.70","C, 6, 132","22.50","C, 7, 132","22.10","C, 8, 132","22.30","C, 9, 132","22.40","C, 10, 132","20.70","C, 11, 132","20.90","C, 12, 132","22.40","C, 13, 132","22.10","C, 14, 132","20.45","C, 15, 133","",""
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","M49_EUR_EE","BGR","Bulgaria","","","","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","45.56","C, 1, 133","42.76","C, 2, 133","40.87","C, 3, 133","39.83","C, 4, 133","41.14","C, 5, 133","39.31","C, 6, 133","41.19","C, 7, 133","42.07","C, 8, 133","44.21","C, 9, 133","47.53","C, 10, 133","42.02","C, 11, 133","41.66","C, 12, 133","42.52","C, 13, 133","42.02","C, 14, 133","41.30","C, 15, 133","",""
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","M49_EUR_EE","MDA","Republic of Moldova","","True","","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","36.34","C, 1, 132","33.57","C, 2, 132","30.21","C, 3, 132","29.17","C, 4, 132","29.24","C, 5, 132","29.01","C, 6, 132","28.71","C, 7, 132","26.00","C, 8, 132","26.00","C, 9, 132","27.02","C, 10, 132","26.74","C, 11, 132","25.71","C, 12, 132","25.10","C, 13, 132","25.44","C, 14, 132","26.73","C, 15, 132","",""
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","M49_EUR_EE","ROU","Romania","","","","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","38.96","C, 1, 133","35.61","C, 2, 133","32.99","C, 3, 133","34.88","C, 4, 133","36.08","C, 5, 133","37.43","C, 6, 133","39.29","C, 7, 133","39.37","C, 8, 133","45.03","C, 9, 133","45.84","C, 10, 133","39.95","C, 11, 133","37.37","C, 12, 133","37.05","C, 13, 133","33.76","C, 14, 133","35.30","C, 15, 133","",""
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","M49_EUR_EE","RUS","Russian Federation","","","","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","27.40","C, 1, 132","27.30","C, 2, 132","27.40","C, 3, 132","27.60","C, 4, 132","28.20","C, 5, 132","27.40","C, 6, 132","28.20","C, 7, 132","28.30","C, 8, 132","29.30","C, 9, 132","28.70","C, 10, 132","27.00","C, 11, 132","26.70","C, 12, 132","27.30","C, 13, 132","26.60","C, 14, 132","26.00","C, 15, 132","24.00","C, 16, 132"
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","M49_EUR_EE","UKR","Ukraine","","","","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","32.10","C, 1, 132","29.20","C, 2, 132","29.20","C, 3, 132","29.00","C, 4, 132","29.60","C, 5, 132","28.60","C, 6, 132","24.00","C, 7, 17","30.09","C, 8, 133","31.82","C, 9, 133","31.20","C, 10, 132","28.80","C, 11, 132","34.00","C, 12, 18","28.48","C, 13, 133","27.20","C, 14, 132","26.09","C, 15, 133","",""
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","M49_EUR","M49_EUR_NE","Northern Europe","","","","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","22.80","1, 131","","","","","","","","","20.70","6, 131","","","","","","","","","17.30","11, 131","","","","","","","","","11.90","16, 131"
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","M49_EUR_NE","DNK","Denmark","","","","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","7.89","C, 1, 133","7.59","C, 2, 133","6.52","C, 3, 133","6.00","C, 4, 133","5.63","C, 5, 133","5.58","C, 6, 133","5.95","C, 7, 133","5.66","C, 8, 133","6.03","C, 9, 133","5.46","C, 10, 133","5.00","C, 11, 133","4.56","C, 12, 133","4.41","C, 13, 133","4.24","C, 14, 133","3.64","C, 15, 133","",""
