"Goal","Target","IndicatorRef","IndicatorId","IndicatorDescription","SeriesCode","SeriesType","SeriesDescription","ParentCountryOrAreaCode","CountryOrAreaCode","CountryOrAreaName","LDC","LLDC","SIDS","Frequency","SourceType","AgeGroup","Location","Sex","Value type","Unit","UnitMultiplier","Y2015","Y2015FN"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTATCH","+","Proportion of youth and adults with information and communications technology (ICT) skill, sending e-mails with attached files","M49_EUR_SE","SRB","Serbia","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","43.10","NA, 1, 2"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTATCH","+","Proportion of youth and adults with information and communications technology (ICT) skill, sending e-mails with attached files","M49_EUR_WE","CHE","Switzerland","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","73.90","NA, 1, 2, 6"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTATCH","+","Proportion of youth and adults with information and communications technology (ICT) skill, sending e-mails with attached files","M49_EUR_WE","CHE","Switzerland","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","70.30","NA, 1, 2, 6"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTATCH","+","Proportion of youth and adults with information and communications technology (ICT) skill, sending e-mails with attached files","M49_EUR_WE","CHE","Switzerland","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","77.70","NA, 1, 2, 6"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTATCH","+","Proportion of youth and adults with information and communications technology (ICT) skill, sending e-mails with attached files","MDG_LAC_CAR","DOM","Dominican Republic","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","25.90","NA, 1, 2"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTATCH","+","Proportion of youth and adults with information and communications technology (ICT) skill, sending e-mails with attached files","MDG_LAC_CAR","JAM","Jamaica","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","17.60","NA, 1, 2, 5"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTATCH","+","Proportion of youth and adults with information and communications technology (ICT) skill, sending e-mails with attached files","MDG_LAC_CAR","JAM","Jamaica","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","19.50","NA, 1, 2, 5"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTATCH","+","Proportion of youth and adults with information and communications technology (ICT) skill, sending e-mails with attached files","MDG_LAC_CAR","JAM","Jamaica","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","15.70","NA, 1, 2, 5"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTATCH","+","Proportion of youth and adults with information and communications technology (ICT) skill, sending e-mails with attached files","M49_LAC_SA","BRA","Brazil","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","24.80","NA, 1, 2, 7"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTATCH","+","Proportion of youth and adults with information and communications technology (ICT) skill, sending e-mails with attached files","M49_LAC_SA","BRA","Brazil","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","23.20","NA, 1, 2, 7"
