"Goal","Target","IndicatorRef","IndicatorId","IndicatorDescription","SeriesCode","SeriesType","SeriesDescription","ParentCountryOrAreaCode","CountryOrAreaCode","CountryOrAreaName","LDC","LLDC","SIDS","Frequency","SourceType","AgeGroup","Location","Sex","Value type","Unit","UnitMultiplier","Y2000","Y2000FN","Y2001","Y2001FN","Y2002","Y2002FN","Y2003","Y2003FN","Y2004","Y2004FN","Y2005","Y2005FN","Y2006","Y2006FN","Y2007","Y2007FN","Y2008","Y2008FN","Y2009","Y2009FN","Y2010","Y2010FN","Y2011","Y2011FN","Y2012","Y2012FN","Y2013","Y2013FN","Y2014","Y2014FN","Y2015","Y2015FN","Y2016","Y2016FN"
"5","5.3","5.3.1","C050301","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","SP_DYN_MRBF15","SD","Proportion of women aged 20-24 years who were married by age 15","","MDG_WORLD","World","","","","Annual","Not available","20 to 24 years old","Total (national level)","Female","","Percent","Units","11.03","E, 1, 25, 77","","","","","","","","","10.54","E, 4, 25, 77","","","","","","","","","9.44","E, 9, 25, 77","","","","","","","","","7.51","E, 14, 25, 77","",""
"5","5.3","5.3.1","C050301","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","SP_DYN_MRBF15","SD","Proportion of women aged 20-24 years who were married by age 15","MDG_WORLD","SDG_NAEUR","Europe and Northern America","","","","Annual","Not available","20 to 24 years old","Total (national level)","Female","","Percent","Units","0.88","E, 1, 25, 78","","","","","","","","","0.51","E, 4, 25, 78","","","","","","","","","0.40","E, 9, 25, 78","","","","","","","","","0.17","E, 14, 25, 78","",""
"5","5.3","5.3.1","C050301","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","SP_DYN_MRBF15","SD","Proportion of women aged 20-24 years who were married by age 15","SDG_NAEUR","M49_EUR","Europe","","","","Annual","Not available","20 to 24 years old","Total (national level)","Female","","Percent","Units","0.88","E, 1, 25, 79","","","","","","","","","0.51","E, 4, 25, 79","","","","","","","","","0.40","E, 9, 25, 79","","","","","","","","","0.17","E, 14, 25, 79","",""
"5","5.3","5.3.1","C050301","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","SP_DYN_MRBF15","SD","Proportion of women aged 20-24 years who were married by age 15","M49_EUR","M49_EUR_EE","Eastern Europe","","","","Annual","Not available","20 to 24 years old","Total (national level)","Female","","Percent","Units","0.83","E, 1, 25, 80","","","","","","","","","0.33","E, 4, 25, 80","","","","","","","","","0.32","E, 9, 25, 80","","","","","","","","","0.11","E, 14, 25, 80","",""
"5","5.3","5.3.1","C050301","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","SP_DYN_MRBF15","SD","Proportion of women aged 20-24 years who were married by age 15","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","20 to 24 years old","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","0.00","C, 11, 26","","","","","","","",""
"5","5.3","5.3.1","C050301","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","SP_DYN_MRBF15","SD","Proportion of women aged 20-24 years who were married by age 15","M49_EUR_EE","MDA","Republic of Moldova","","True","","Annual","Not available","20 to 24 years old","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","0.40","C, 11, 26","","","","","","","",""
"5","5.3","5.3.1","C050301","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","SP_DYN_MRBF15","SD","Proportion of women aged 20-24 years who were married by age 15","M49_EUR_EE","UKR","Ukraine","","","","Annual","Not available","20 to 24 years old","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","0.10","C, 11, 26","","","","","","","",""
"5","5.3","5.3.1","C050301","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","SP_DYN_MRBF15","SD","Proportion of women aged 20-24 years who were married by age 15","M49_EUR","M49_EUR_SE","Southern Europe","","","","Annual","Not available","20 to 24 years old","Total (national level)","Female","","Percent","Units","1.02","E, 1, 25, 81","","","","","","","","","1.09","E, 4, 25, 81","","","","","","","","","0.66","E, 9, 25, 81","","","","","","","","","0.34","E, 14, 25, 81","",""
"5","5.3","5.3.1","C050301","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","SP_DYN_MRBF15","SD","Proportion of women aged 20-24 years who were married by age 15","M49_EUR_SE","ALB","Albania","","","","Annual","Not available","20 to 24 years old","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","0.20","C, 15, 27","","","","","","","","","","","","","",""
"5","5.3","5.3.1","C050301","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","SP_DYN_MRBF15","SD","Proportion of women aged 20-24 years who were married by age 15","M49_EUR_SE","BIH","Bosnia and Herzegovina","","","","Annual","Not available","20 to 24 years old","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","0.20","C, 16, 28","","","","","","","",""
