Code,Description,Type,TypeLabel
11,cabinet minister ,10,Illustrative example(s)
11,city councillor ,10,Illustrative example(s)
11,First Nations band chief ,10,Illustrative example(s)
11,governor general ,10,Illustrative example(s)
11,lieutenant-governor ,10,Illustrative example(s)
11,mayor ,10,Illustrative example(s)
11,Member of Legislative Assembly (MLA) ,10,Illustrative example(s)
11,Member of Parliament (MP) ,10,Illustrative example(s)
11,Member of the National Assembly (MNA) ,10,Illustrative example(s)
11,Member of the Provincial Parliament (MPP) ,10,Illustrative example(s)
11,premier ,10,Illustrative example(s)
11,prime minister ,10,Illustrative example(s)
11,school board trustee ,10,Illustrative example(s)
11,senator ,10,Illustrative example(s)
11, ,19,All examples
11, ,19,All examples
11, ,19,All examples
11, ,19,All examples
11, ,19,All examples
11, ,19,All examples
11, ,19,All examples
11, ,19,All examples
11, ,19,All examples
11,Aboriginal band chief ,19,All examples
11,Aboriginal band council member ,19,All examples
11,alderman/woman ,19,All examples
11,attorney general ,19,All examples
11,"band chief, First Nations ",19,All examples
11,cabinet minister ,19,All examples
11,"chair, metropolitan council ",19,All examples
11,"chair, regional municipality ",19,All examples
11,"chief, First Nations band ",19,All examples
11,city alderman ,19,All examples
11,city councillor ,19,All examples
11,city councilman/woman ,19,All examples
11,"council member, First Nations band ",19,All examples
11,councillor ,19,All examples
11,"councilman/woman, city ",19,All examples
11,First Nations band chief ,19,All examples
11,First Nations band council member ,19,All examples
11,First Nations government leader ,19,All examples
11,government leader ,19,All examples
11,governor general ,19,All examples
11,leader of the opposition ,19,All examples
11,legislative body speaker ,19,All examples
11,legislator ,19,All examples
11,lieutenant-governor ,19,All examples
11,mayor ,19,All examples
11,Member of Legislative Assembly (MLA) ,19,All examples
11,Member of Parliament (MP) ,19,All examples
11,Member of the House of Assembly (MHA) ,19,All examples
11,Member of the National Assembly (MNA) ,19,All examples
11,Member of the Provincial Parliament (MPP) ,19,All examples
11,metropolitan council chair ,19,All examples
11,MHA (Member of the House of Assembly) ,19,All examples
11,minister - government ,19,All examples
11,MLA (Member of the Legislative Assembly) ,19,All examples
11,MNA (Member of the National Assembly) ,19,All examples
11,MP (Member of Parliament) ,19,All examples
11,MPP (Member of the Provincial Parliament) ,19,All examples
11,municipal council chairman/woman ,19,All examples
11,opposition leader ,19,All examples
11,orator - government ,19,All examples
11,premier ,19,All examples
11,prime minister ,19,All examples
11,reeve ,19,All examples
11,regional municipality chair ,19,All examples
11,school board trustee ,19,All examples
11,senator ,19,All examples
11,solicitor general ,19,All examples
11,"speaker, legislative body ",19,All examples
11,Treasury Board president ,19,All examples
11,"trustee, school board ",19,All examples
11,Commissioners - government services  (See 0012 Senior government managers and officials),50,Exclusion(s)
11,"Elected or appointed officials of health care institutions, educational institutions, unions and voluntary organizations  (See 0014 Senior managers - health, education, social and community services and membership organizations)",50,Exclusion(s)
11,Legislators perform some or all of the following duties: ,60,Main duties
11,"Enact, amend or repeal laws and regulations ",60,Main duties
11,"Participate in developing or amending government policies, programs or procedures ",60,Main duties
11,"Represent their government at local, national and international meetings and conferences ",60,Main duties
11,Respond to matters of concern to constituents or the general public ,60,Main duties
11,May serve as minister responsible for a government department or agency and direct senior government managers and officials in the implementation of government policy and the management of that department or agency. ,60,Main duties
11, ,60,Main duties
11, ,60,Main duties
11, ,60,Main duties
11, ,60,Main duties
11, ,60,Main duties
11, ,60,Main duties
11,"Election to a legislative body, or appointment to positions such as senator, lieutenant-governor or governor general, is required. ",70,Employment requirements
12,assistant deputy minister ,10,Illustrative example(s)
12,"chairperson, Human Rights Commission ",10,Illustrative example(s)
12,chief administrative officer - regional municipality ,10,Illustrative example(s)
12,chief statistician - government services ,10,Illustrative example(s)
12,city administrator ,10,Illustrative example(s)
12,deputy minister ,10,Illustrative example(s)
12,director general - government services ,10,Illustrative example(s)
12,executive director - government services ,10,Illustrative example(s)
12,high commissioner ,10,Illustrative example(s)
12, ,19,All examples
12, ,19,All examples
12, ,19,All examples
12, ,19,All examples
12, ,19,All examples
12, ,19,All examples
12,ambassador ,19,All examples
12,assistant chief statistician - government services ,19,All examples
12,assistant deputy minister ,19,All examples
12,assistant deputy minister - government services ,19,All examples
12,assistant executive director - government services ,19,All examples
12,assistant general director - government services ,19,All examples
12,assistant undersecretary of state ,19,All examples
12,band manager - First Nations ,19,All examples
12,chairman/woman - government services ,19,All examples
12,chairperson - government services ,19,All examples
12,"chairperson, Human Rights Commission ",19,All examples
12,chief - disaster management ,19,All examples
12,chief administrative officer - government services ,19,All examples
12,chief administrative officer - regional municipality ,19,All examples
12,chief electoral officer ,19,All examples
12,chief statistician - government services ,19,All examples
12,city administrator ,19,All examples
12,city hall clerk ,19,All examples
12,city manager ,19,All examples
12,city superintendent ,19,All examples
12,clerk of the House of Commons ,19,All examples
12,Clerk of the Privy Council ,19,All examples
12,commissioner - government services ,19,All examples
12,commissioner of inquiries ,19,All examples
12,commissioner of inquiries - government services ,19,All examples
12,"commissioner, territorial ",19,All examples
12,comptroller general of Canada ,19,All examples
12,consul ,19,All examples
12,council secretary - government services ,19,All examples
12,county clerk ,19,All examples
12,deputy commissioner - government services ,19,All examples
12,deputy minister ,19,All examples
12,deputy minister - government services ,19,All examples
12,deputy municipal clerk ,19,All examples
12,deputy provincial secretary - government services ,19,All examples
12,director general - government services ,19,All examples
12,employment insurance appeals board chairperson ,19,All examples
12,employment insurance commissioner ,19,All examples
12,executive administrator - government agency ,19,All examples
12,executive administrator - government department ,19,All examples
12,executive director - emergency preparedness ,19,All examples
12,executive director - government services ,19,All examples
12,fire marshal ,19,All examples
12,First Nations band manager ,19,All examples
12,general manager - government services ,19,All examples
12,general secretary - government services ,19,All examples
12,government agency commissioner ,19,All examples
12,government agency president ,19,All examples
12,government agency senior administrator ,19,All examples
12,grain commissioner ,19,All examples
12,health commissioner ,19,All examples
12,high commissioner ,19,All examples
12,highway commissioner ,19,All examples
12,Human Rights Commission chairperson ,19,All examples
12,inspector general of financial institutions ,19,All examples
12,liquor commissioner ,19,All examples
12,local government manager ,19,All examples
